Character(s);Author(s);Geocoordinates;Year;Photo
Billy the Cat;Colman & Desberg;50.8534930829, 4.34524297714;2000;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/0c23baaead4ec7e0a9febe61e0633047
Blondin & Cirage - Blondie & Blinkie;Jijé;50.8382916052, 4.34736728668;1998;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/e3b8b7b02b73d4559a210ed2f2732cb2
La Vache - De Koe;Johan de Moor;50.8528725, 4.357844;1999;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/1863e288e9247fd3f63c93ba0c6b29a5
Schtroumpfs - Smurfen (Smurfs);Peyo;50.845641, 4.355886;2018;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/e89705bfe2b80e6e73f42c1dfda1c16c
Après-midi place Bockstael - 's Namiddags  aan het Bockstaelplein;Elodie Shanta;50.877108, 4.346971;2021;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/d7244fa78a65e9bc49ac482343340200
Benoit Brisefer - Steven Sterk;Peyo;50.8391525, 4.3504241;2015;
Corto Maltese;Pratt;50.8605342, 4.3485253;2009;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/21a653087012d0a110d8ea37b66a549a
LGBT;Ralf König;50.846751, 4.349346;2015;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/1fbd8432358b23177561a68366b4312e
Quick & Flupke;Herg??;50.840422, 4.350264;2015;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/19e870c2fd99c38bc1435021617a8389
Le Chat - De Kat;Philippe Geluck;50.8378444279, 4.34198141098;1993;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/55f00cb9735ad5e3ac76deb2ae863be0
L'Ange de Sambre - De Aartsengel;Yslaire;50.8489412883, 4.34687376022;1998;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/b0c9a62962686c954fafb8c00b971f1c
Solastalgie;Eva Roussel;50.8807067871, 4.34292840958;2021;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/f172cca2444f7d0276a71cbde762877b
Marsupilami;Franquin;50.8907142, 4.3371644;2013;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/4d909466e3164c0ef0e0d5ae4a21a1d0
La Voie lactée;Mathilde Van Gheluwe;50.8394619195, 4.34260158861;2019;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/1f86cb113cd88bb60405f77a4c13fc73
Boule & Bill - Bollie & Billie;Roba;50.8376411641, 4.3455862999;1992;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/4e84973dda8839c63fb15edbe02671c7
Le roi des mouches;Mezzo;50.87640787, 4.35762405396;2007;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/b5cffaab92e82e4a0a93c1579632d32a
Blake & Mortimer;Jacobs;50.8398908, 4.3513569;2005;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/5082678d893671de023f9157caa227fa
Le monde … l'envers - De omgekeerde wereld;Atak;50.87798328811941, 4.348827242299489;2021;
Martine - Tinny;Marcel Marlier;50.876218314, 4.35929775238;2004;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/928f29a147e577c70480d4f905254d31
Broussaille - Ragebol;Frank Pé;50.8467465143, 4.34942722321;1999;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/b17daccbf026ff22035464e3d0f12b51
Caroline Baldwin;Taymans & Wesel;50.8487380728, 4.33895587921;2003;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/310a0910ca6fc0d6eb6845f8b1fca476
Le grand loup qui porte le mouton - De grote Wolf die het schaap draagt;Dominique Goblet;50.855695, 4.354617;2018;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/a31cf373a27e95cd780b16b4af33954b
Le Passage - De Doorgang;Schuiten;50.8462858696, 4.35052156448;1995;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/61c668b7ebdc3b30596e374ddad9bc3b
Léonard;Turk & De Groot;50.8381135, 4.3468826;2015;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/1a2f0b57f0fbcd573ae2ef2b7616945f
Odilon Verjus - Govert Suurbier;Verron & Yann;50.8386439237, 4.34633731842;2004;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/6dbba6f299b0ace70c476a0bca8518a0
Thorgal;Grzegorz Rosinski & Jean Van Hamme;50.8436175268, 4.34409090675;2013;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/761fbc33410c8ee3dcc577a7151eb9af
Le petit gilet;Aurélie William Levaux;50.8391908515, 4.34207719601;2019;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/a91bd357f1bcdacb44c7aa4eea685d77
Petit Poilu - Stoppeltje;Céline Fraipont & Pierre Bailly;50.8929672241, 4.42356586456;2020;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/9f7af2d4543c532cb7ecde36b5f4822c
Les ancêtres bienveillants;Fabienne Loodts;50.8399042095, 4.34353265336;2019;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/1f86cb113cd88bb60405f77a4c13fc73
Le Scorpion - De Schorpioen;Marini;50.8477626262, 4.3621301651;2002;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/911d3d085d018edc2900ffc719e3b755
Astérix & Obélix;Goscinny & Uderzo;50.8464078054, 4.34236764908;2005;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/8949022f8f4a09a86fe477f4003c14f4
Gaston Lagaffe - Guust Flater;Franquin;50.8492461098, 4.3537402153;2007;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/b6aa0a6c1281abbc2fb0669849b36830
Kiekeboe;Merho;50.8936569, 4.3516674;2009;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/c05b263e1a9d36b393e7ea3c2b5b84be
La patrouille des Castors - De Beverpatrouille;Mitacq;50.8356220289, 4.3444275856;2003;
Le Petit Spirou - De Kleine Robbedoes;Tome & Janry;50.8942608, 4.34231;1996;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/ab06b4290145f703c8ce101b0355bce7
Titeuf;Zep;50.8700844057, 4.34397697449;2006;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/66d5e70c12f5dbc34f713095b95dd680
Tour à Plomb - Hageltoren;Zidrou;50.847841, 4.3395;2018;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/65c775fbec53e1c8794fc20870704f19
Tamara;Zidrou & Christian Darasse;50.882038, 4.344161;2019;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/d7bd550db28757dde44b72b246ba496d
Spirou - Robbedoes;Yoann & Vehlmann;50.8380325, 4.3505493;2014;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/646b7ee24dc51c7a259cc3805761c740
Les rêves de Nick - De dromen van Nick;Herman;50.8487651682, 4.3412733078;1999;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/24d46d0b335d3ab1e4cd1c1330aa6847
Lincoln;Jouvray;50.8772608627, 4.35940504074;2006;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/6ea041f139a8d1aecd292d2a096390d9
Lucky Luke;Morris;50.8475, 4.341417;1993;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/073abc9ed347e5307221bdfa3cb5d7d3
Cori;Bob de Moor;50.8482909956, 4.3421959877;1998;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/839bb292fee474d00aeb2ef03246f67b
Passe-moi l'ciel - Oh! Lieve Hemel;Stuff & Janry;50.8387322, 4.3520306;2002;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/c490bfe09d610f6d240208c3d5d24744
Froud & Stouf;Jannin & Liberski;50.8440542, 4.3455639;2014;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/a08bed337c366def4f893c396d184ed3
Le Jeune Albert - De Jonge Albert;Yves Chaland;50.8433593148, 4.35011386871;2000;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/984c157dc73098683e21fd5dfc12ca6d
Jojo;Geerts;50.8351206193, 4.34547901154;1996;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/e25a5c30e226d4977125534c9073bd02
Parchis;Peter Willems;50.87021, 4.342756;2016;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/d32283932643c2d0e762e48fd0cd5faa
Yoko Tsuno;Roger Leloup;50.8425826, 4.3474095;2011;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/21bee449a32835b2947a19d4bc7fb047
Jommeke;Jef Nys;50.8746816, 4.3482216;2015;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/d4c52433b1680b675db0fe7b5f342853
Néron - Nero;Marc Sleen;50.8477084341, 4.34680938721;1995;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/8f65fa6497c3597ce99fcfaed612d78a
Ric Hochet - Rik Ringers;Tibet & Duchâteau;50.845838769, 4.3479681015;1994;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/ef94672e2e2b0afa1b490bba53924b52
Tintin - Kuifje;Hergé;50.845354, 4.350344;2005;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/85fd1c0942b2000b9cc73dd6a45a256c
Gil Jourdan - Guus Slim;Maurice Tillieux;50.8772202443, 4.34423446655;2009;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/66010c38d42bc5b635042c556cbe1670
Natacha - Natasja;François Walthéry;50.8789322, 4.3467511;2009;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/229fb060e02a6894c6aa3aadb541124a
Yasmina;Wauter Mannaert;50.8913955688, 4.41742181778;2020;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/42f3d722a1ec6afad5da4a51117036dc
Cubitus - Dommel;Dupa;50.8527886675, 4.34530735016;1994;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/2a65374d1a867e6038f36451a204c0c8
Olivier Rameau - Roze Bottel;Dany;50.8450258477, 4.34929847717;1997;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/589cbaafea1952fdfd8589dc1a9b93a2
Bob & Bobette - Suske & Wiske (Spike & Suzy);Willy Vandersteen;50.8546445081, 4.35225963593;1995;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/0c50f76c95b2c1aae66c784d6699147b
Crocodiles - Krokodillen;Juliette Boutant & Thomas Mathieu;50.8522510917, 4.35844043349;2020;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/b74266cb4193ee1317949f86098da0bc
Monsieur Jean - Meneer Johan;Dupuy & Berberian;50.8444432454, 4.34818267822;2002;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/96985e8c9cc339e97ed1b9fceed8735b
Kinky & Cosy;Nix;50.844758, 4.347687;2016;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/d512e017c66625007a05dff9a1ad2839
XIII;William Vance & Jean Van Hamme;50.8430806, 4.3483808;2010;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/5828e24d9a81f95a07fb8e7eb9aa0391
Victor Sackville;Carin;50.8461097396, 4.34876203537;2002;https://opendata.brussels.be/api/explore/v2.1/catalog/datasets/comic-book-route/files/c96238e6e47224a54ba79ec629debc6c
